Scientific_Name,Common_Name,AOU_Code,is_at_risk,forest_sightings,grassland_sightings,total_sightings,grassland_share_pct,well_sampled,specialist_class
Haliaeetus leucocephalus,Bald Eagle,BAEA,False,0,5,5,100.0,False,Insufficient data
Hirundinidae,Unidentified Swallow,UNSW,False,0,5,5,100.0,False,Insufficient data
Helmitheros vermivorus,Worm-eating Warbler,WEWA,True,4,0,4,0.0,False,Insufficient data
Columba livia,Rock Dove,RODO,False,0,4,4,100.0,False,Insufficient data
Setophaga virens,Black-throated Green Warbler,BTNW,False,3,1,4,25.0,False,Insufficient data
Vireo griseus,White-eyed Vireo,WEVI,False,3,1,4,25.0,False,Insufficient data
Catharus fuscescens,Veery,VEER,False,1,2,3,66.7,False,Insufficient data
Coragyps atratus,Black Vulture,BLVU,False,0,3,3,100.0,False,Insufficient data
Setophaga tigrina,Cape May Warbler,CMWA,False,2,1,3,33.3,False,Insufficient data
Setophaga coronata,Yellow-rumped Warbler,YRWA,False,3,0,3,0.0,False,Insufficient data
Strix varia,Barred Owl,BADO,False,1,2,3,66.7,False,Insufficient data
Junco hyemalis,Dark-eyed Junco,DEJU,False,2,0,2,0.0,False,Insufficient data
Accipiter cooperii,Cooper's Hawk,COHA,False,0,2,2,100.0,False,Insufficient data
Parkesia motacilla,Louisiana Waterthrush,LOWA,False,2,0,2,0.0,False,Insufficient data
Pooecetes gramineus,Vesper Sparrow,VESP,False,0,2,2,100.0,False,Insufficient data
Setophaga castanea,Bay-breasted Warbler,BBWA,False,1,1,2,50.0,False,Insufficient data
Setophaga magnolia,Magnolia Warbler,MAWA,False,1,1,2,50.0,False,Insufficient data
Empidonax traillii,Willow Flycatcher,WIFL,True,0,2,2,100.0,False,Insufficient data
Archilochus colubris,Ruby-throated Hummingbird,RTHU,False,0,2,2,100.0,False,Insufficient data
Aix sponsa,Wood Duck,WODU,False,0,1,1,100.0,False,Insufficient data
Falco peregrinus,Peregrine Falcon,PEFA,False,1,0,1,0.0,False,Insufficient data
Empidonax minimus,Least Flycatcher,LEFL,False,0,1,1,100.0,False,Insufficient data
Corvus caurinus,Northwestern Crow,NOCR,False,0,1,1,100.0,False,Insufficient data
Ceryle alcyon,Belted Kingfisher,BEKI,False,0,1,1,100.0,False,Insufficient data
Ardeola bacchus,Chinese Pond-Heron,CHPH,False,0,1,1,100.0,False,Insufficient data
Oporornis formosus,Kentucky Warbler,KEWA,True,0,1,1,100.0,False,Insufficient data
Parulidae,Unidentified Warbler,UNWA,False,0,1,1,100.0,False,Insufficient data
Passerculus sandwichensis,Savannah Sparrow,SASP,False,0,1,1,100.0,False,Insufficient data
Picadae,Unidentified Woodpecker,UNWO,False,1,0,1,0.0,False,Insufficient data
Piranga rubra,Summer Tanager,SUTA,False,0,1,1,100.0,False,Insufficient data
Mniotilta varia,Black-and-white Warbler,BAWW,False,0,1,1,100.0,False,Insufficient data
Melospiza georgiana,Swamp Sparrow,SWSP,False,0,1,1,100.0,False,Insufficient data
Parkesia noveboracensis,Northern Waterthrush,NOWA,False,0,1,1,100.0,False,Insufficient data
Setophaga pensylvanica,Chestnut-sided Warbler,CSWA,False,0,1,1,100.0,False,Insufficient data
Tyrannidae,Unidentified Flycatcher,UNFL,False,0,1,1,100.0,False,Insufficient data
Zonotrichia albicollis,White-throated Sparrow,WTSP,False,0,1,1,100.0,False,Insufficient data
