common_name,file,recordist,licence,url
Acadian Flycatcher,acadian_flycatcher.mp3,Mario Reyes Jr,CC BY-NC-SA 4.0,https://xeno-canto.org/1137266
Carolina Wren,carolina_wren.mp3,Rory Nefdt,CC BY-NC-SA 4.0,https://xeno-canto.org/1146763
Eastern Wood-Pewee,eastern_wood_pewee.mp3,Rory Nefdt,CC BY-NC-SA 4.0,https://xeno-canto.org/1140074
Field Sparrow,field_sparrow.mp3,Mario Reyes Jr,CC BY-NC-SA 4.0,https://xeno-canto.org/1135219
Indigo Bunting,indigo_bunting.mp3,Rory Nefdt,CC BY-NC-SA 4.0,https://xeno-canto.org/1146756
Northern Cardinal,northern_cardinal.mp3,Scott Crabtree,CC BY-NC-SA 4.0,https://xeno-canto.org/1151504
Red-eyed Vireo,red_eyed_vireo.mp3,Benin Laliberte,CC BY-NC-SA 4.0,https://xeno-canto.org/1142511
Wood Thrush,wood_thrush.mp3,Philip Vanbergen,CC0 1.0,https://xeno-canto.org/1103243
